PVC_Nr,Batch,Subject,Sow,Test_Nr,HAT_disturbance_freq,HAT_exploration_human_dur,HAT_exploration_human_freq,HAT_jumping_freq,HAT_latency_to_touch_the_human_dur,HAT_pig_not_visible_dur,HAT_pig_not_visible_freq,HAT_pig_visible_not_exploring_dur,HAT_pig_visible_not_exploring_freq,HAT_tail_wagging_freq,HAT_touching_not_visible_freq,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_latency_nose_nose_dur,NPT_nose_nose_freq,NPT_NP_not_visible_dur,NPT_NP_walking_by_fence_dur,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
7832,1,3,693,1,0,32.394,4,0,3.541,28.595,4,208.995,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7832,1,3,693,2,0,6.997,1,0,31.809,39.238,4,223.756,5,0,0,6.844,1,0,65.48,9,189.496,10,201.993,8,210,0,76.499,61.146,9,4.245,3,0,2,5.504,1,2.5,17,0,69.736,0,0,0,0,0,0,9,61.146,8,201.993,0,0,10,36.475,13,155.248,1,4.751,0.752999999999999,64.985
7834,1,12,656,1,1,111.888,9,0,9.319,14.961,6,143.128,9,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7834,1,12,656,2,2,86.14,7,0,5.791,18.102,5,165.738,9,3,16,15.002,1,0,43.757,7,221.222,10,178.249,4,127.243,0,104.989,76.74,5,1.997,1,4,2,3.006,1,0.244,13,8.751,0,1,0.253,9,84.484,3,28.14,4,48.598,10,93.75,5,7.155,7,36.597,15,158.222,0,0,3.006,0
7835,1,4,670,1,0,40.543,5,0,13.985,15.499,2,213.945,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7835,1,4,670,2,2,17.751,3,0,57.658,44.696,2,207.544,6,0,0,36.991,3,0,48.239,7,217.251,7,215.753,5,211.505,0,141.252,17.242,7,4.495,2,0,0,0,0,0,17,0,25.503,0,0,0,0,0,0,7,17.242,5,215.753,0,0,6,29.986,6,210.996,0,0,0,25.503
7848,5,14,766,1,5,0,0,0,270,17.797,4,252.195,5,0,0,5.855,1,0,0,0,128.849,11,260.643,1,270,9.356,270,3.5,1,0,0,0,0,141.13,11,18.604,10,32.495,0,0,0,3,151.128,0,0,1,3.5,3,109.51,0,0,0,0,8,114.603,0,0,141.13,0
7848,5,14,766,2,5,54.061,5,0,4.829,1.999,1,213.928,7,0,5,0,0,0,9.622,2,182.864,10,266.876,1,270,0,266.876,3.123,1,0,0,1,1,77.495,8,0,29,0,8.995,0,0,4,24.755,0,0,1,3.123,5,242.113,0,0,2,9.622,14,171.365,1,3.996,73.499,4.999
7865,1,7,685,1,1,9.108,4,0,192.258,35.743,8,225.126,12,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7865,1,7,685,2,2,7.502,1,0,229.264,32.036,2,230.456,4,0,0,0,0,0,36.992,5,229.995,6,268.097,2,270,0,156.348,1.901,1,0,0,3,0,0,0,11.251,18,0,0,0,0,5,32.496,0,0,1,1.901,7,235.591,2,7.498,5,29.492,8,212.486,0,0,0,0
