PVC_Nr,Batch,Subject,Sow,L_w,R_w,L_t,R_t,L_f,R_f,LI_w,z_score_w,bias_w,LI_f,z_score_f,bias_f,LI_t,z_score_t,bias_t,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open
8548,6,2,804,10,67,61,14,76,0,0.74025974025974,6.49575285819936,R,-1,-8.71779788708135,L,-0.626666666666667,-5.42709253038248,L,1,6,22.392,6,0,4,2.693,3,119.795,36,247.596,7,143.689,41,237,0,27.65,4,10.484,95.735,146.608,4,0,0,7.1,7.1,39.987,10,0,102.155,160.736,5,164,0
8564,6,7,776,NA,NA,0,73,NA,NA,NA,NA,NA,NA,NA,NA,1,8.54400374531753,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8565,4,16,733,56,15,67,12,0,72,-0.577464788732394,-4.8658047985948,L,1,8.48528137423857,R,-0.69620253164557,-6.18798345509313,L,1,4,28.239,9,0,1,0,0,94.964,27,241.743,10,174.482,29,86,0,12.337,5,0,7.149,250.505,5,0,0,10.755,10.755,62.655,15,0,63.634,196.96,4,148,0
8572,6,3,804,43,48,24,52,69,0,0.0549450549450549,0.524142418360959,A,-1,-8.30662386291807,L,0.368421052631579,3.21182027418786,R,1,4,54.745,15,0,0,0.502,1,112.655,34,215.225,16,156.775,34,241,0,104.194,6,2.027,49.377,116.418,6,90.562,21,99.985,99.985,0,0,32.059,4.006,165.986,12,49,0
8575,4,8,774,25,29,79,0,12,60,0.0740740740740741,0.544331053951817,A,0.666666666666667,5.65685424949238,R,-1,-8.88819441731559,L,1,6,38.795,9,0,0,0,0,79.377,32,231.187,10,190.559,33,168,0,60.297,8,13.621,21.319,188.369,8,18.257,7,21.241,21.241,39.009,9,1.487,45.288,203.464,4,104,0
8587,4,13,588,13,18,49,27,0,70,0.161290322580645,0.898026510133875,A,1,8.36660026534076,R,-0.289473684210526,-2.52357307257618,L,1,1,67.84,15,0,1,0,0,88.623,27,202.131,15,181.13,28,144,0,23.896,3,15.655,48.358,197.741,3,0,0,8.196,8.196,6.249,2,3.172,37.423,224.376,3,104,0
8590,4,10,784,37,38,0,79,70,0,0.0133333333333333,0.115470053837925,A,-1,-8.36660026534076,L,1,8.88819441731559,R,1,2,23.744,8,0,5,0,0,99.316,36,246.24,9,167.118,40,137,0,33.195,5,3.529,4.379,232.417,5,0,0,3.739,3.739,3.249,1,0,48.091,218.165,3,159,0
8596,6,14,810,29,13,77,0,70,0,-0.380952380952381,-2.46885359939347,L,-1,-8.36660026534076,L,-1,-8.77496438739212,L,1,4,26.547,7,0,0,0.899,1,142.037,31,243.439,8,127.001,32,214,0,20.452,7,7.391,3.939,245.596,7,0,0,7.246,7.246,23.603,6,0.354,116.159,146.586,5,77,0
8612,4,9,781,43,44,0,52,67,0,0.0114942528735632,0.107211253483779,A,-1,-8.18535277187245,L,1,7.21110255092798,R,1,5,46.14,13,0,5,0,0,131.56,41,223.835,13,132.361,46,168,0,39.192,9,14.807,6.809,223.982,9,13.66,7,6.248,6.248,6.002,2,0,67.926,195.819,4,73,0
8620,4,7,774,27,63,NA,NA,0,74,0.4,3.79473319220206,R,1,8.60232526704263,R,NA,NA,NA,1,2,65.636,18,0,2,0,0,137.809,33,204.328,19,129.62,35,157,0,7.793,5,10.117,24.867,237.331,5,57.192,17,110.292,110.292,9.748,3,1.886,17.887,141.794,14,34,0
8623,6,11,775,39,48,7,5,69,0,0.103448275862069,0.964901281354015,A,-1,-8.30662386291807,L,NA,NA,NA,1,3,50.98,13,0,0,0,0,122.171,39,218.994,14,147.751,40,143,0,41.637,4,19.708,168.765,59.591,4,90.025,25,116.032,116.032,6.25,1,16.318,26.617,127.328,12,29,0
8641,4,4,739,35,43,78,0,72,0,0.102564102564103,0.905821627315677,A,-1,-8.48528137423857,L,-1,-8.83176086632785,L,1,6,26.482,8,0,0,0,0,86.663,33,243.502,9,183.272,33,107,0,23.74,7,12.628,9.378,236.869,7,3.004,2,4.449,4.449,34.996,8,0,3.812,261.732,4,188,0
