Batch,Subject,Test_Nr,Novel_pig,PVC_Nr,Sow,NPT_back_dur,NPT_back_freq,NPT_climbing_freq,NPT_facing_back_dur,NPT_facing_back_freq,NPT_facing_fence_dur,NPT_facing_fence_freq,NPT_front_dur,NPT_front_freq,NPT_latency_back_dur,NPT_latency_front_dur,NPT_latency_middle_dur,NPT_middle_dur,NPT_middle_freq,NPT_sudden_display_dur,NPT_sudden_display_freq,NPT_tail_wagging_freq,NPT_turn_back_freq,NPT_walking_by_fence_dur,NPT_walking_by_fence_freq,NPT_NP_back_dur,NPT_NP_back_freq,NPT_NP_climbing_freq,NPT_NP_facing_back_dur,NPT_NP_facing_back_freq,NPT_NP_facing_fence_dur,NPT_NP_facing_fence_freq,NPT_NP_front_dur,NPT_NP_front_freq,NPT_NP_latency_nose-nose_dur,NPT_NP_middle_dur,NPT_NP_middle_freq,NPT_NP_nose-nose_freq,NPT_NP_pig_not_visible_dur,NPT_NP_pig_not_visible_freq,NPT_NP_sudden_display_dur,NPT_NP_sudden_display_freq,NPT_NP_tail_wagging_freq,NPT_NP_walking_by_fence_dur,NPT_NP_walking_by_fence_freq,NPT_Sback_NPback_freq,NPT_Sback_NPback_dur,NPT_Sfront_NPback_freq,NPT_Sfront_NPback_dur,NPT_Smiddle_NPback_freq,NPT_Smiddle_NPback_dur,NPT_Smiddle_NPfront_freq,NPT_Smiddle_NPfront_dur,NPT_Sfront_NPfront_freq,NPT_Sfront_NPfront_dur,NPT_Sfaceback_NPfaceback_freq,NPT_Sfaceback_NPfaceback_dur,NPT_Sfaceback_NPfacefence_freq,NPT_Sfaceback_NPfacefence_dur,NPT_Sfacefence_NPfacefence_freq,NPT_Sfacefence_NPfacefence_dur,NPT_Swalkfence_NPwalkfence_freq,NPT_Swalkfence_NPwalkfence_dur,NPT_Swalkfence_NPnotwalkfence_dur,NPT_Snotwalkfence_NPwalkfence_dur
2,2,2,8790,14,747,26.247,3,0,56.492,4,204.494,6,210.247,4,127.25,0,109.749,33.494,6,5.002,2,1,0,4,1,86.488,8,0,37.499,9,160.73,14,183.496,9,1.247,0,0,26,23.501,4,0,0,0,48.238,6,1,5.249,6,62.49,3,18.747,6,14.743,9,147.746,3,9.744,4,27.993,13,127.978,1,2.748,1.252,45.49
2,3,1,8928,18,680,18.998,2,0,56.1,5,196.634,8,196.485,3,216.734,0,172.236,54.508,5,0,0,0,3,17.252,2,68.75,5,4,43.238,7,204.242,10,201.24,6,7.486,0,0,28,10.25,1,0,0,0,12.251,2,2,10.245,4,46.501,5,11.998,4,42.506,4,149.979,3,13.989,6,42.107,11,159.128,1,0.753,16.499,11.498
2,3,2,8929,18,680,12.244,3,0,59.487,11,210.492,11,207.994,8,223,0,144.501,49.742,10,0,0,1,0,0,0,42.747,5,0,37.747,7,221.237,8,227.244,5,0.749,0,0,31,0,0,0,0,3,11.001,1,2,6.498,3,32.249,2,3.998,10,45.742,10,175.74,5,14.75,12,39.732,12,181.489,0,0,0,11.001
2,4,1,8779,7,728,15.747,1,0,24.507,3,241.986,4,236.742,1,238.995,0,236.742,17.508,2,0,0,0,0,3.5,1,29.994,6,0,18.732,7,211.002,11,239.994,7,35.492,0,0,22,0,0,0,0,0,40.245,4,0,0,6,29.994,0,0,2,17.508,7,206.736,0,0,1,2.505,11,207.996,0,0,3.5,40.245
2,4,2,8825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,1,8927,10,751,30.495,3,0,53.739,5,190.143,10,157.744,4,186.348,18.1,66.103,81.747,8,0,0,0,2,26.1,4,13.741,3,1,5.747,3,208.989,8,256.253,4,20.599,0,0,15,0,0,0,0,0,55.25,4,2,3.25,1,1.746,2,8.743,8,73.002,5,155.996,2,3.749,6,40.736,9,168.246,4,26.1,0,29.15
2,5,2,8793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,1,8759,5,691,7.503,1,0,24.239,5,219.254,9,250.244,3,172.255,0,166.257,12.247,3,0,0,0,0,26.491,3,90.249,7,0,61.998,9,172.738,11,179.739,6,15.76,0,0,7,30.24,3,0,0,0,5.001,1,0,0,8,82.239,2,8.007,2,4.239,6,167.994,2,4.74,3,17.504,15,144.231,0,0,26.491,5.001
2,6,2,8790,5,691,0,0,0,68.995,8,195.988,9,203.242,6,270,0,75.749,66.747,6,0,0,0,0,5,1,179.251,7,0,77.488,8,158.24,10,90.736,7,3.751,0,0,13,24,3,0,0,0,10.251,1,0,0,10,132.247,5,46.996,3,19.749,7,70.984,6,35.995,5,23.245,11,129.988,0,0,5,10.251
2,7,1,8928,11,592,21.477,2,0,134.96,8,131.525,9,108.022,5,222.026,0,58.026,140.489,6,0,0,0,2,3.498,1,105.741,6,0,87.734,10,182.246,11,164.247,7,14.029,0,0,15,0,0,0,0,0,0,0,1,10.502,3,25.743,8,69.49,8,70.989,4,82.277,7,58.49,9,76.462,12,102.275,0,0,3.498,0
