PVC_Nr,Batch,Subject,Sow,Test_Nr,elim_freq,expl_dur,expl_freq,head_invisible,jump_freq,knee_dur,knee_freq,locom_dur,locom_freq,no_expl_dur,no_expl_freq,stand_dur,stand_freq,OFT_voc_freq,sit_ly_freq,expl_obj_dur,expl_obj_freq,NOT_inter_voc_dur,lat_expl_obj_dur,no_expl_obj_dur,no_expl_obj_freq,chew_dur,chew_freq,expl_wob_dur,expl_wob_freq,freez_dur,freez_freq,BIBAGO_inter_voc_dur,expl_wob_lat,no_expl_wob_dur,no_expl_wob_freq,BIBAGO_voc_freq,wob_open,choco_eaten,Kong_score
9014,5,3,793,1,1,72.143,12,0,8,6.249,1,115.215,29,196.833,13,143.823,38,189,0,7.899,3,5.254,11.503,250.593,3,0,0,2.451,3,8.999,2,0,33.381,234.163,3,270,0,0,0
9014,5,3,793,2,0,NA,NA,17.002,0,9.988,3,120.651,30,216.893,16,139.296,33,223,0,5.147,5,1.844,31.849,232.995,5,2.254,1,49.685,13,3.499,1,0,63.907,156.383,13,232,0,10,2
9027,5,6,795,1,5,101.63,19,0,0,0,0,106.761,30,168.332,20,163.18,30,62,0,120.709,10,23.11,43.659,103.614,10,5.499,1,5.002,2,0,0,94.146,44.844,220.151,2,0,0,0,0
9027,5,6,795,2,3,102.967,15,0,0,0,0,85.133,24,167.003,16,184.821,23,4,0,241.436,5,268.897,9.692,18.863,5,10.845,2,8.044,4,23.456,5,45.707,81.656,180.293,4,19,0,0,0
9028,6,18,813,1,4,50.285,13,0,5,0,0,90.979,28,219.69,13,175.213,33,208,0,90.599,6,5.267,50.169,129.221,6,1.498,1,11.194,6,46.254,12,6.265,14.718,244.077,6,81,0,0,0
9028,6,18,813,2,3,NA,NA,29.251,0,0,0,75.98,26,165.385,13,193.968,27,46,0,85.924,4,8.396,47.148,136.921,4,19.198,9,56.291,16,4.249,1,0,22.892,188.538,15,59,0,8,1
9036,5,15,793,1,3,74.039,14,0,0,0,0,107.674,30,195.933,15,162.267,30,165,0,10.897,6,5.545,32.194,226.898,6,6.005,4,15.695,4,8.743,2,0,132.296,122.002,4,124,0,0,0
9036,5,15,793,2,3,NA,NA,10.004,0,0,0,92.083,24,210.973,13,177.87,24,64,0,23.649,3,15.324,82.976,163.37,3,31.377,16,104.551,15,9.996,3,0,11.064,154.356,15,31,0,10,2
9043,5,16,757,1,5,16.853,6,0,3,0,0,59.528,22,253.135,7,208.174,26,161,0,23.084,7,11.577,15.827,231.076,7,121.263,22,156.784,18,0,0,2.111,8.959,104.223,17,27,0,10,2
9043,5,16,757,2,4,29.64,8,0,0,0,0,57.484,18,240.345,8,212.48,19,56,0,13.248,5,5.39,15.736,241.007,5,31.937,10,118.201,8,3.999,1,48.374,12.427,116.61,8,30,0,10,2
9069,5,9,801,1,5,77.395,14,0,0,0,0,101.292,32,192.577,15,167.441,31,56,0,15.841,6,17.056,107.608,146.54,6,12.6,6,17.17,4,3,1,26.725,158.876,93.948,3,40,0,0,1
9069,5,9,801,2,4,NA,NA,15.574,1,0,0,78.3,32,225.24,13,191.637,32,20,0,45.498,8,12.902,6.498,217.989,8,24.949,8,48.492,11,15.754,4,18.706,65.108,156.379,11,19,0,7,1
9080,5,12,800,1,0,120.489,16,0,1,0,0,136.011,35,149.479,17,133.169,36,43,0,36.337,8,0.555,11.056,222.592,8,10.853,4,4.052,3,3.496,1,46.56,7.957,257.986,3,12,0,0,0
9080,5,12,800,2,4,63.248,11,0,0,0,0,82.426,27,206.73,12,187.521,27,30,0,61.182,8,2.478,10.176,198.627,8,0,0,0,0,34.401,7,31.218,270,0,0,24,0,0,0
9089,6,13,806,1,4,52.633,15,0,3,0,0,143.913,39,217.338,15,124.751,43,236,0,43.645,6,5.995,40.191,186.153,6,75.252,21,75.476,12,5,1,0,61.171,133.33,12,37,0,10,2
9089,6,13,806,2,4,NA,NA,5.249,0,0,0,68.986,15,216.488,10,200.984,16,27,0,69.956,10,13.412,32.66,167.074,10,4.999,2,106.642,10,4.146,1,4.882,9.232,154.107,10,30,0,10,2
9095,5,11,801,1,7,77.41,15,0,0,0,0,68.027,25,192.56,16,201.924,25,57,0,59.48,11,11.616,41.37,169.129,11,49.143,11,7.952,5,11.898,3,101.999,28.595,230.804,5,14,0,1,1
9095,5,11,801,2,6,NA,NA,14.047,0,0,0,45.747,19,156.838,16,224.216,19,11,0,78.491,7,60.503,37.95,153.547,6,53.55,19,78.537,14,0,0,198.737,28.783,162.653,14,3,0,0,1
9100,6,10,772,1,4,50.238,14,0,1,0,0,106.242,29,219.734,15,163.448,30,153,0,93.936,6,4.411,3.906,172.147,6,5.497,2,6.65,2,14.397,4,8.298,22.446,240.901,2,37,0,0,0
9100,6,10,772,2,3,NA,NA,39.053,0,0,0,59.325,17,183.037,12,210.641,18,38,0,127.636,7,10.628,16.079,126.272,7,14.5,4,7.345,2,7.248,2,29.184,138.537,124.115,2,16,0,0,0
9110,5,7,797,1,6,33.149,6,0,0,0,0,78.45,23,236.839,7,191.504,24,90,0,12.189,7,5.464,12.762,245.036,7,44.857,13,46.681,10,0,0,0,16.738,206.562,10,59,0,0,1
9110,5,7,797,2,6,NA,NA,12.251,0,0,0,67.51,22,229.14,13,202.446,23,32,0,7.241,3,25.456,58.557,204.197,3,11.003,4,46.399,7,4.752,1,6.207,48.304,175.284,7,40,0,4,1
9130,5,13,795,1,6,75.345,16,0,0,0,0,71.426,24,194.623,17,198.527,24,147,0,7.34,4,5.39,3.642,259.011,4,13.902,6,13.752,5,5.251,1,3.878,22.178,234.061,5,106,0,0,1
9130,5,13,795,2,4,NA,NA,20.203,0,0,0,77.389,25,233.51,11,192.561,26,50,0,36.141,6,10.15,4.151,229.697,6,0,0,0,0,3.999,1,0,270,0,0,81,0,0,0
9133,5,4,672,1,3,58.424,13,0,2,0,0,103.425,29,211.55,14,164.368,31,81,0,15.395,5,9.701,5.55,249.046,5,38.017,15,102.648,13,3.251,1,3.691,26.587,140.741,12,36,0,0,1
9133,5,4,672,2,4,NA,NA,28.056,6,0,0,110.756,34,258.896,6,152.658,41,68,0,23.637,10,11.879,2.382,243.962,10,11.35,5,150.688,23,0,0,4.609,3.459,115.808,23,13,0,0,1
9135,6,15,809,1,4,22.867,7,0,0,0,0,88.72,28,247.119,8,181.224,29,168,0,69.639,12,1.656,4.157,196.181,12,38.703,7,68.201,11,18.006,4,0,3.639,198.139,11,112,0,8,1
9135,6,15,809,2,1,NA,NA,12.501,0,0,0,63.535,23,231.37,12,206.419,24,37,0,116.846,11,0.689,1.34,151.794,10,6.749,4,24.049,1,3.201,1,0,4.837,0,0,46,1,10,2
9166,6,5,810,1,5,36.484,9,0,3,0,0,97.382,30,233.498,10,168.805,33,163,0,20.045,2,0.622,1.37,248.582,2,0,0,8.555,3,30.949,8,0,100.356,161.084,3,71,0,0,0
9166,6,5,810,2,2,NA,NA,39.899,2,0,0,86.12,27,254.853,6,181.579,30,67,0,89.087,12,1.42,3.02,177.87,12,0,0,2.862,3,7.249,2,2.473,24.322,242.811,3,38,0,1,1
9180,6,16,808,1,3,26.196,7,0,2,0,0,121.47,27,243.79,8,147.223,30,222,0,11.399,3,9.278,65.18,193.416,3,52.251,9,69.302,6,0,0,0,68.69,131.998,5,60,0,10,2
9180,6,16,808,2,4,28.29,7,0,0,0,0,144.073,34,241.696,8,125.86,34,65,0,13.041,6,25.272,30.372,226.576,6,14.239,7,133.685,12,3.249,1,87.38,4.682,131.61,12,19,0,10,2
9233,6,1,808,1,4,70.58,20,0,0,0,0,126.925,34,199.38,21,143.007,35,270,0,84.197,4,11.942,27.59,1081.701,5,32.129,9,14.153,3,34.753,8,0,91.836,164.006,3,58,0,5,1
9233,6,1,808,2,3,NA,NA,98.276,1,0,0,86.074,27,239.501,9,183.621,28,261,0,110.599,10,6.633,13.234,146.148,10,44.358,10,23.333,7,27.901,6,0,69.127,177.527,7,23,0,7,1
9238,5,8,797,1,6,9.001,3,0,0,0,0,77.226,24,260.993,4,192.726,25,137,0,38.947,6,12.178,35.026,196.016,6,5.252,1,33.488,6,25.597,6,0,34.922,223.324,5,135,0,0,0
9238,5,8,797,2,4,NA,NA,32.495,0,0,0,64.58,17,242.494,6,205.387,17,36,0,31.588,7,62.641,63.442,174.957,7,7.246,2,87.597,17,0,0,3.142,66.697,115.673,17,4,0,10,2
